trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,key_resp.started,Fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
84,0,84,0,161.75874230009504,,161.7450928001199,161.75874230009504,162.7594870000612,162.7594870000612,165.06607499998063,up,1,2.2961363999638706,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
85,0,85,0,165.09153520013206,,165.0786221001763,165.09153520013206,166.09163450007327,166.11103150015697,166.36622700002044,up,1,0.2619286000262946,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
86,0,86,0,166.40794429997914,,166.37841660017148,166.40794429997914,167.39130809996277,167.41159440018237,167.46707100002095,up,1,0.07073129992932081,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
87,0,87,0,167.50793690001592,,167.48319229995832,167.50793690001592,168.50830900017172,168.52657800004818,169.58342330018058,up,1,1.0685356999747455,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
88,0,88,0,169.62516160006635,,169.59741690009832,169.62516160006635,170.62447779998183,170.64345300011337,171.07961570005864,up,0,0.4299369000364095,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
89,0,89,0,171.10800550016575,,171.09441739995964,171.10800550016575,172.09305190015584,172.10991800017655,174.06570519995876,up,0,1.966839199885726,None,2,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
90,0,90,0,174.10771590005606,,174.0796805000864,174.10771590005606,175.07673640013672,175.12759410007857,175.54596829996444,up,0,0.4509822998661548,None,3,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
91,0,91,0,175.573943000054,,175.553977600066,175.573943000054,176.57602629996836,176.57602629996836,176.9991558000911,up,0,0.41029529995284975,None,4,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
92,0,92,0,177.0237684000749,,177.01091840001754,177.0237684000749,178.0238948999904,178.04321549995802,179.55213790014386,up,1,1.521015499951318,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
93,0,93,0,179.60772940004244,,179.57834590016864,179.60772940004244,180.59109880006872,180.60904480004683,181.29790100012906,up,1,0.7004957001190633,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
94,0,94,0,181.34000630001538,,181.31055980012752,181.34000630001538,182.33978640008718,182.3589344001375,183.72883410006762,up,1,1.3648412998300046,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
95,0,95,0,183.7731672001537,,183.74550219997764,183.7731672001537,184.7566376000177,184.77522640000097,185.04637430002913,up,1,0.27331890002824366,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
96,0,96,0,185.07288170000538,,185.0583765001502,185.07288170000538,186.0590441999957,186.07572910003364,186.7153452001512,up,0,0.6405893999617547,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
97,0,97,0,186.75594409997575,,186.73188860015944,186.75594409997575,187.74055670015514,187.76018900005147,188.08234710013494,up,1,0.33461060002446175,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
98,0,98,0,188.12303910008632,,188.09813320008107,188.12303910008632,189.12414299999364,189.14281640015543,189.39948879997246,up,1,0.26829389994964004,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
99,0,99,0,189.43952460004948,,189.42033990006894,189.43952460004948,190.43914280016907,190.4592762000393,190.72757950006053,up,0,0.2825287999585271,None,-2,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
